date,price
2021-03-29,302.2
2021-03-30,304.82
2021-03-31,305.25
2021-04-01,307.75
2021-04-05,315.4
2021-04-06,313.78
2021-04-07,312.47
2021-04-08,314.43
2021-04-09,319.23
2021-04-12,320.79
2021-04-13,320.4
2021-04-14,320.02
2021-04-15,322.74
2021-04-16,328.08
2021-04-19,326.85
2021-04-20,323.96
2021-04-21,325.95
2021-04-22,321.46
2021-04-23,323.89
2021-04-26,319.99
2021-04-27,320.59
2021-04-28,319.71
2021-04-29,325.34
2021-04-30,323.67
2021-05-03,330.27
2021-05-04,332.77
2021-05-05,332.05
2021-05-06,337.58
2021-05-07,339.25
2021-05-10,341.12
2021-05-11,330.66
2021-05-12,317
2021-05-13,325.42
2021-05-14,323.63
2021-05-17,320.01
2021-05-18,316.75
2021-05-19,314.45
2021-05-20,315.9
2021-05-21,315.77
2021-05-24,314.84
2021-05-25,316.75
2021-05-26,317.33
2021-05-27,318.77
2021-05-28,318.91
2021-06-01,316.31
2021-06-02,313.23
2021-06-03,311.43
2021-06-04,311.01
2021-06-07,309.96
2021-06-08,310.9
2021-06-09,307.34
2021-06-10,308.31
2021-06-11,310.77
2021-06-14,309.32
2021-06-15,306.45
2021-06-16,302.78
2021-06-17,303.12
2021-06-18,302.61
2021-06-21,307.6
2021-06-22,312.71
2021-06-23,311.67
2021-06-24,311.84
2021-06-25,313.63
2021-06-28,314.28
2021-06-29,318.24
2021-06-30,318.89
2021-07-01,321.54
2021-07-02,322.7
2021-07-06,319.26
2021-07-07,323.48
2021-07-08,318.54
2021-07-09,322.09
2021-07-12,321.74
2021-07-13,317.05
2021-07-14,319.22
2021-07-15,322.71
2021-07-16,321.54
2021-07-19,318.87
2021-07-20,325.35
2021-07-21,326.36
2021-07-22,326.66
2021-07-23,332.84
2021-07-26,331.18
2021-07-27,327.26
2021-07-28,325.52
2021-07-29,327.43
2021-07-30,328.19
2021-08-02,327.22
2021-08-03,331.94
2021-08-04,330.31
2021-08-05,333.11
2021-08-06,329.84
2021-08-09,328.76
2021-08-10,331.48
2021-08-11,337
2021-08-12,334.02
2021-08-13,331.32
2021-08-16,335.05
2021-08-17,320.75
2021-08-18,321.55
2021-08-19,322.9
2021-08-20,329.24
2021-08-23,327.74
2021-08-24,324.9
2021-08-25,323.88
2021-08-26,321.48
2021-08-27,323.38
2021-08-30,327.1
2021-08-31,326.18
2021-09-01,323.64
2021-09-02,327.74
2021-09-03,330.34
2021-09-07,328.95
2021-09-08,331.58
2021-09-09,331.77
2021-09-10,331.95
2021-09-13,335.45
2021-09-14,333.12
2021-09-15,333.37
2021-09-16,336.39
2021-09-17,335.67
2021-09-20,331.21
2021-09-21,334.22
2021-09-22,335.93
2021-09-23,335.91
2021-09-24,337.49
2021-09-27,341.41
2021-09-28,333.8
2021-09-29,336.93
2021-09-30,328.26
2021-10-01,329.86
2021-10-04,326.47
2021-10-05,329.48
2021-10-06,330.36
2021-10-07,337.48
2021-10-08,334.34
2021-10-11,336.97
2021-10-12,337.8
2021-10-13,338.28
2021-10-14,344.05
2021-10-15,350.41
2021-10-18,355.01
2021-10-19,357.99
2021-10-20,358.23
2021-10-21,364.62
2021-10-22,365.99
2021-10-25,371.26
2021-10-26,369.2
2021-10-27,372.32
2021-10-28,371.57
2021-10-29,371.74
2021-11-01,366.48
2021-11-02,367.29
2021-11-03,368.97
2021-11-04,372.18
2021-11-05,368.4
2021-11-08,368.59
2021-11-09,370.65
2021-11-10,368.58
2021-11-11,367.63
2021-11-12,372.63
2021-11-15,371.08
2021-11-16,392.33
2021-11-17,394.85
2021-11-18,405.85
2021-11-19,408.69
2021-11-22,408.79
2021-11-23,408.37
2021-11-24,412.11
2021-11-26,402.7
2021-11-29,406.82
2021-11-30,400.61
2021-12-01,400.42
2021-12-02,407.77
2021-12-03,407.81
2021-12-06,415.7
2021-12-07,416.18
2021-12-08,411.25
2021-12-09,411.34
2021-12-10,415.4
2021-12-13,405.24
2021-12-14,402.2
2021-12-15,407.81
2021-12-16,399.53
2021-12-17,387.98
2021-12-20,389.4
2021-12-21,390.47
2021-12-22,395.64
2021-12-23,397.07
2021-12-27,404.09
2021-12-28,406.22
2021-12-29,410.84
2021-12-30,409.94
2021-12-31,415.01
2022-01-03,408.64
2022-01-04,412.84
2022-01-05,407.24
2022-01-06,405.76
2022-01-07,393.61
2022-01-10,387.46
2022-01-11,386.67
2022-01-12,389.4
2022-01-13,386.98
2022-01-14,372
2022-01-18,366.72
2022-01-19,359.69
2022-01-20,349.58
2022-01-21,349.1
2022-01-24,363.81
2022-01-25,358.98
2022-01-26,357.28
2022-01-27,356.43
2022-01-28,366.54
2022-01-31,366.98
2022-02-01,368.7
2022-02-02,373.73
2022-02-03,364.81
2022-02-04,359.67
2022-02-07,357.35
2022-02-08,361.44
2022-02-09,364.37
2022-02-10,355.09
2022-02-11,350.29
2022-02-14,351.56
2022-02-15,353.26
2022-02-16,350.09
2022-02-17,347.94
2022-02-18,346.87
2022-02-22,316.17
2022-02-23,308.45
2022-02-24,313.24
2022-02-25,316.65
2022-02-28,315.83
2022-03-01,320.25
2022-03-02,327.37
2022-03-03,324.36
2022-03-04,324.26
2022-03-07,322.77
2022-03-08,316.74
2022-03-09,317.2
2022-03-10,317.94
2022-03-11,316.79
2022-03-14,318.36
2022-03-15,328.54
2022-03-16,330.91
2022-03-17,336.36
2022-03-18,340.74
2022-03-21,329.37
2022-03-22,329.73
2022-03-23,317.05
2022-03-24,315.78
2022-03-25,310.68
