date,price
2021-03-29,198.21
2021-03-30,199.65
2021-03-31,198.07
2021-04-01,200.72
2021-04-05,205.35
2021-04-06,205.43
2021-04-07,204.45
2021-04-08,203.46
2021-04-09,205.36
2021-04-12,205.1
2021-04-13,204.94
2021-04-14,205.71
2021-04-15,205.76
2021-04-16,208.55
2021-04-19,208.65
2021-04-20,207.27
2021-04-21,206.77
2021-04-22,205.57
2021-04-23,206.01
2021-04-26,203.63
2021-04-27,204.36
2021-04-28,204.46
2021-04-29,207.38
2021-04-30,207.26
2021-05-03,211.28
2021-05-04,211.61
2021-05-05,212.41
2021-05-06,213
2021-05-07,214.71
2021-05-10,214.03
2021-05-11,209.24
2021-05-12,202.96
2021-05-13,208.61
2021-05-14,211.16
2021-05-17,210.02
2021-05-18,206.43
2021-05-19,219.01
2021-05-20,221.79
2021-05-21,225.09
2021-05-24,225.41
2021-05-25,225.3
2021-05-26,227.11
2021-05-27,227.37
2021-05-28,226.92
2021-06-01,227.27
2021-06-02,228.38
2021-06-03,229.18
2021-06-04,231.34
2021-06-07,230.89
2021-06-08,235.1
2021-06-09,231.94
2021-06-10,231.66
2021-06-11,232.94
2021-06-14,233.07
2021-06-15,232.57
2021-06-16,231.26
2021-06-17,231.22
2021-06-18,230.53
2021-06-21,233.77
2021-06-22,237.21
2021-06-23,237.31
2021-06-24,239.84
2021-06-25,240.55
2021-06-28,241.26
2021-06-29,241.85
2021-06-30,241.74
2021-07-01,243.47
2021-07-02,246.58
2021-07-06,245.45
2021-07-07,247.55
2021-07-08,248.58
2021-07-09,248.58
2021-07-12,252.24
2021-07-13,251.75
2021-07-14,253.63
2021-07-15,252.93
2021-07-16,251.15
2021-07-19,251.12
2021-07-20,254.71
2021-07-21,256.05
2021-07-22,257.01
2021-07-23,261.03
2021-07-26,260.86
2021-07-27,258.36
2021-07-28,257.42
2021-07-29,261.66
2021-07-30,261.05
2021-08-02,257.24
2021-08-03,262.2
2021-08-04,260.53
2021-08-05,261.4
2021-08-06,260.09
2021-08-09,262.41
2021-08-10,264.07
2021-08-11,263.01
2021-08-12,261.88
2021-08-13,261.54
2021-08-16,263.15
2021-08-17,254.65
2021-08-18,247.58
2021-08-19,245.41
2021-08-20,253.4
2021-08-23,252.53
2021-08-24,250.65
2021-08-25,251.15
2021-08-26,248.96
2021-08-27,249.18
2021-08-30,249.36
2021-08-31,246.98
2021-09-01,246.37
2021-09-02,245.81
2021-09-03,244.31
2021-09-07,242.72
2021-09-08,246.11
2021-09-09,245.44
2021-09-10,244.54
2021-09-13,243.1
2021-09-14,242.24
2021-09-15,244.14
2021-09-16,246.95
2021-09-17,246.67
2021-09-20,242.14
2021-09-21,241.31
2021-09-22,241.77
2021-09-23,242.67
2021-09-24,241.44
2021-09-27,238.58
2021-09-28,233.44
2021-09-29,235.85
2021-09-30,228.77
2021-10-01,228.42
2021-10-04,225.89
2021-10-05,227.56
2021-10-06,226.83
2021-10-07,229.82
2021-10-08,228.9
2021-10-11,228.72
2021-10-12,230.24
2021-10-13,236.75
2021-10-14,242.09
2021-10-15,245.71
2021-10-18,253.65
2021-10-19,252.19
2021-10-20,251.83
2021-10-21,254.21
2021-10-22,255.93
2021-10-25,260.35
2021-10-26,258.73
2021-10-27,256.54
2021-10-28,258.22
2021-10-29,259.62
2021-11-01,257.92
2021-11-02,260.26
2021-11-03,260.41
2021-11-04,260.44
2021-11-05,254.27
2021-11-08,253.33
2021-11-09,255.16
2021-11-10,254.05
2021-11-11,256.01
2021-11-12,260.02
2021-11-15,264.33
2021-11-16,266.39
2021-11-17,253.8
2021-11-18,252.05
2021-11-19,250.7
2021-11-22,244.57
2021-11-23,249.18
2021-11-24,248.76
2021-11-26,246.57
2021-11-29,249.16
2021-11-30,243.84
2021-12-01,240.39
2021-12-02,245.5
2021-12-03,247.57
2021-12-06,242.97
2021-12-07,245.63
2021-12-08,239.6
2021-12-09,237.56
2021-12-10,238.18
2021-12-13,234.17
2021-12-14,235.28
2021-12-15,236.65
2021-12-16,224.78
2021-12-17,223.31
2021-12-20,219.19
2021-12-21,220.07
2021-12-22,217.74
2021-12-23,221.01
2021-12-27,224.1
2021-12-28,224.91
2021-12-29,227.92
2021-12-30,231.91
2021-12-31,231.44
2022-01-03,231.95
2022-01-04,234.17
2022-01-05,228.86
2022-01-06,231.35
2022-01-07,230.78
2022-01-10,227.42
2022-01-11,227.55
2022-01-12,224.47
2022-01-13,225.83
2022-01-14,221.4
2022-01-18,220.01
2022-01-19,223.84
2022-01-20,221.72
2022-01-21,217.25
2022-01-24,220.58
2022-01-25,214.68
2022-01-26,211.71
2022-01-27,212.18
2022-01-28,217.67
2022-01-31,220.43
2022-02-01,219.23
2022-02-02,217.61
2022-02-03,213.22
2022-02-04,214.04
2022-02-07,211.29
2022-02-08,212.95
2022-02-09,216.64
2022-02-10,213.84
2022-02-11,211.56
2022-02-14,208.57
2022-02-15,207.18
2022-02-16,207.81
2022-02-17,204
2022-02-18,204.39
2022-02-22,196.35
2022-02-23,189.9
2022-02-24,191.55
2022-02-25,199.22
2022-02-28,199.77
2022-03-01,219.43
2022-03-02,224.9
2022-03-03,223.84
2022-03-04,224.1
2022-03-07,211.04
2022-03-08,208.81
2022-03-09,216
2022-03-10,214.78
2022-03-11,206.97
2022-03-14,208.76
2022-03-15,215.35
2022-03-16,215.59
2022-03-17,220.63
2022-03-18,226.05
2022-03-21,223
2022-03-22,222.77
2022-03-23,216.72
2022-03-24,217.04
2022-03-25,218.61
