date,price
2021-03-29,194.14
2021-03-30,197.77
2021-03-31,201.34
2021-04-01,208.08
2021-04-05,214.7
2021-04-06,212.91
2021-04-07,212.14
2021-04-08,209.21
2021-04-09,209.19
2021-04-12,207.94
2021-04-13,202
2021-04-14,199.89
2021-04-15,201.77
2021-04-16,199.38
2021-04-19,194.76
2021-04-20,193.86
2021-04-21,201.13
2021-04-22,196.25
2021-04-23,201.56
2021-04-26,205.02
2021-04-27,203.4
2021-04-28,198.65
2021-04-29,200.76
2021-04-30,192.51
2021-05-03,191.84
2021-05-04,191.09
2021-05-05,190.41
2021-05-06,192.52
2021-05-07,197.92
2021-05-10,189.03
2021-05-11,192.54
2021-05-12,182.78
2021-05-13,186.44
2021-05-14,192.27
2021-05-17,191.18
2021-05-18,191.25
2021-05-19,194.94
2021-05-20,199.67
2021-05-21,199.84
2021-05-24,204.38
2021-05-25,204.76
2021-05-26,206.14
2021-05-27,210.22
2021-05-28,211.42
2021-06-01,207.91
2021-06-02,207.85
2021-06-03,200.75
2021-06-04,202
2021-06-07,201.15
2021-06-08,198.25
2021-06-09,197.38
2021-06-10,201.05
2021-06-11,201.13
2021-06-14,203.57
2021-06-15,202.99
2021-06-16,200.26
2021-06-17,198.43
2021-06-18,193.1
2021-06-21,198.46
2021-06-22,197.4
2021-06-23,199.15
2021-06-24,203.83
2021-06-25,204.17
2021-06-28,206.18
2021-06-29,207.7
2021-06-30,205.72
2021-07-01,201.86
2021-07-02,202.73
2021-07-06,201.74
2021-07-07,198.35
2021-07-08,195.99
2021-07-09,200.35
2021-07-12,204.41
2021-07-13,204
2021-07-14,203.55
2021-07-15,194.41
2021-07-16,190.11
2021-07-19,188.62
2021-07-20,193.31
2021-07-21,198.62
2021-07-22,194.31
2021-07-23,196.35
2021-07-26,198.16
2021-07-27,194.25
2021-07-28,198.58
2021-07-29,204.27
2021-07-30,206.39
2021-08-02,208.98
2021-08-03,210.53
2021-08-04,212.43
2021-08-05,212.9
2021-08-06,213.75
2021-08-09,217.11
2021-08-10,217.26
2021-08-11,218.42
2021-08-12,214.53
2021-08-13,215.26
2021-08-16,213.18
2021-08-17,206.5
2021-08-18,203.82
2021-08-19,203.02
2021-08-20,205
2021-08-23,210.63
2021-08-24,214.52
2021-08-25,217.79
2021-08-26,222.24
2021-08-27,226.51
2021-08-30,227.64
2021-08-31,215.13
2021-09-01,211.5
2021-09-02,211.91
2021-09-03,212.99
2021-09-07,212.86
2021-09-08,208.12
2021-09-09,210.46
2021-09-10,212.12
2021-09-13,214.77
2021-09-14,211.48
2021-09-15,212.34
2021-09-16,213.03
2021-09-17,209.33
2021-09-20,202.78
2021-09-21,206.06
2021-09-22,213.08
2021-09-23,216.35
2021-09-24,216.67
2021-09-27,216.69
2021-09-28,206.19
2021-09-29,198.75
2021-09-30,195.87
2021-10-01,192.89
2021-10-04,188.95
2021-10-05,191.63
2021-10-06,190.9
2021-10-07,193.85
2021-10-08,190.31
2021-10-11,185.94
2021-10-12,183.19
2021-10-13,183.1
2021-10-14,189.1
2021-10-15,189.81
2021-10-18,192.26
2021-10-19,196.95
2021-10-20,197.52
2021-10-21,201.25
2021-10-22,199.93
2021-10-25,200.29
2021-10-26,196.15
2021-10-27,192.41
2021-10-28,199.9
2021-10-29,200.86
2021-11-01,205.13
2021-11-02,206.56
2021-11-03,215.78
2021-11-04,219.26
2021-11-05,224.25
2021-11-08,223.08
2021-11-09,221.05
2021-11-10,214.22
2021-11-11,219.1
2021-11-12,217.82
2021-11-15,215.68
2021-11-16,219.26
2021-11-17,217.81
2021-11-18,220.58
2021-11-19,221.26
2021-11-22,221.87
2021-11-23,219.12
2021-11-24,221.03
2021-11-26,212.45
2021-11-29,223.94
2021-11-30,223.36
2021-12-01,223
2021-12-02,222.73
2021-12-03,227.12
2021-12-06,224.28
2021-12-07,238.9
2021-12-08,228.09
2021-12-09,225.16
2021-12-10,226.46
2021-12-13,221.79
2021-12-14,219.99
2021-12-15,229.38
2021-12-16,217.95
2021-12-17,218.71
2021-12-20,217.65
2021-12-21,224.37
2021-12-22,226.76
2021-12-23,227.35
2021-12-27,232.78
2021-12-28,231.02
2021-12-29,230.52
2021-12-30,228.6
2021-12-31,227.78
2022-01-03,231.22
2022-01-04,232.87
2022-01-05,224.57
2022-01-06,226.96
2022-01-07,221.33
2022-01-10,221.83
2022-01-11,227.54
2022-01-12,229.02
2022-01-13,221.86
2022-01-14,225.29
2022-01-18,217.42
2022-01-19,210.95
2022-01-20,199.61
2022-01-21,199.95
2022-01-24,203.07
2022-01-25,194.77
2022-01-26,196.96
2022-01-27,187.96
2022-01-28,189.45
2022-01-31,205.44
2022-02-01,208.2
2022-02-02,210.35
2022-02-03,198.34
2022-02-04,198.12
2022-02-07,196.92
2022-02-08,202.53
2022-02-09,209.76
2022-02-10,199.05
2022-02-11,186.74
2022-02-14,185.88
2022-02-15,196.62
2022-02-16,199.66
2022-02-17,187.61
2022-02-18,187.09
2022-02-22,187.24
2022-02-23,185.15
2022-02-24,191.42
2022-02-25,194.2
2022-02-28,190.12
2022-03-01,181.18
2022-03-02,188.35
2022-03-03,184.7
2022-03-04,176.45
2022-03-07,169.72
2022-03-08,176.9
2022-03-09,183.35
2022-03-10,180.5
2022-03-11,178.56
2022-03-14,171.71
2022-03-15,178.44
2022-03-16,188.32
2022-03-17,189.77
2022-03-18,192.42
2022-03-21,190.51
2022-03-22,187.75
2022-03-23,183.59
2022-03-24,191.08
2022-03-25,190.46
